Code,CompanyName,Level0,Level1,Level2,Level3,Level4,Level5,Cluster,Subsector,Sector
6268,ナブテスコ,34,-1,-1,-1,-1,-1,90,機械,機械
6361,荏原製作所,34,-1,-1,-1,-1,-1,90,機械,機械
6481,ＴＨＫ,34,1,-1,-1,-1,-1,91,機械,機械
6005,三浦工業,34,1,1,-1,-1,-1,92,機械,機械
6383,ダイフク,34,1,1,-1,-1,-1,92,機械,機械
6586,マキタ,34,1,1,-1,-1,-1,92,機械,機械
6506,安川電機,34,1,2,-1,-1,-1,93,機械,機械
6645,オムロン,34,1,2,-1,-1,-1,93,機械,機械
6954,ファナック,34,1,2,-1,-1,-1,93,機械,機械
6273,ＳＭＣ,34,2,1,-1,-1,-1,94,機械,機械
9962,ミスミグループ本社,34,2,1,-1,-1,-1,94,機械,機械
6406,フジテック,34,2,2,-1,-1,-1,95,機械,機械
6845,アズビル,34,2,2,-1,-1,-1,95,機械,機械
6861,キーエンス,34,2,2,-1,-1,-1,95,機械,機械
7741,ＨＯＹＡ,34,2,2,-1,-1,-1,95,機械,機械
1942,関電工,35,-1,-1,-1,-1,-1,96,インフラ工事,建設2
1944,きんでん,35,-1,-1,-1,-1,-1,96,インフラ工事,建設2
1959,九電工,35,-1,-1,-1,-1,-1,96,インフラ工事,建設2
3382,セブン＆アイ・ホールディングス,36,-1,-1,-1,-1,-1,97,総合スーパー,ドラッグストア
8267,イオン,36,-1,-1,-1,-1,-1,97,総合スーパー,ドラッグストア
1414,ショーボンドホールディングス,37,1,-1,-1,-1,-1,98,建設3,建設2
1812,鹿島建設,37,1,-1,-1,-1,-1,98,建設3,建設2
1893,五洋建設,37,1,-1,-1,-1,-1,98,建設3,建設2
1801,大成建設,37,2,-1,-1,-1,-1,99,建設3,建設2
1820,西松建設,37,2,-1,-1,-1,-1,99,建設3,建設2
4004,レゾナック・ホールディングス,38,-1,-1,-1,-1,-1,100,化学3,化学4
5301,東海カーボン,38,-1,-1,-1,-1,-1,100,化学3,化学4
8283,ＰＡＬＴＡＣ,38,-1,-1,-1,-1,-1,100,化学3,化学4
8056,ＢＩＰＲＯＧＹ,39,-1,-1,-1,-1,-1,101,IT4,IT2
2327,日鉄ソリューションズ,39,1,-1,-1,-1,-1,102,IT4,IT2
9719,ＳＣＳＫ,39,1,-1,-1,-1,-1,102,IT4,IT2
3626,ＴＩＳ,39,2,-1,-1,-1,-1,103,IT4,IT2
9759,ＮＳＤ,39,2,-1,-1,-1,-1,103,IT4,IT2
2206,江崎グリコ,40,-1,-1,-1,-1,-1,104,食品1,食品1
2229,カルビー,40,-1,-1,-1,-1,-1,104,食品1,食品1
2267,ヤクルト本社,40,-1,-1,-1,-1,-1,104,食品1,食品1
2269,明治ホールディングス,40,-1,-1,-1,-1,-1,104,食品1,食品1
6923,スタンレー電気,41,-1,-1,-1,-1,-1,105,自動車5,自動車1
7240,ＮＯＫ,41,-1,-1,-1,-1,-1,105,自動車5,自動車1
7276,小糸製作所,41,-1,-1,-1,-1,-1,105,自動車5,自動車1
7988,ニフコ,41,-1,-1,-1,-1,-1,105,自動車5,自動車1
1332,ニッスイ,42,-1,-1,-1,-1,-1,106,食品2,食品3
1333,マルハニチロ,42,-1,-1,-1,-1,-1,106,食品2,食品3
6302,住友重機械工業,43,-1,-1,-1,-1,-1,107,重工,重工
7011,三菱重工業,43,-1,-1,-1,-1,-1,107,重工,重工
7012,川崎重工業,43,-1,-1,-1,-1,-1,107,重工,重工
7013,ＩＨＩ,43,-1,-1,-1,-1,-1,107,重工,重工
2501,サッポロホールディングス,44,-1,-1,-1,-1,-1,108,酒・たばこ,飲料
2502,アサヒグループホールディングス,44,-1,-1,-1,-1,-1,108,酒・たばこ,飲料
2503,キリンホールディングス,44,-1,-1,-1,-1,-1,108,酒・たばこ,飲料
2914,日本たばこ産業,44,-1,-1,-1,-1,-1,108,酒・たばこ,飲料
8174,日本瓦斯,45,-1,-1,-1,-1,-1,109,ガス,ガス
9531,東京瓦斯,45,-1,-1,-1,-1,-1,109,ガス,ガス
9532,大阪瓦斯,45,-1,-1,-1,-1,-1,109,ガス,ガス
9533,東邦瓦斯,45,-1,-1,-1,-1,-1,109,ガス,ガス
7164,全国保証,46,1,-1,-1,-1,-1,110,金融,金融
8253,クレディセゾン,46,1,-1,-1,-1,-1,110,金融,金融
8570,イオンフィナンシャルサービス,46,1,-1,-1,-1,-1,110,金融,金融
8473,ＳＢＩホールディングス,46,2,-1,-1,-1,-1,111,金融,金融
8572,アコム,46,2,-1,-1,-1,-1,111,金融,金融
8595,ジャフコ　グループ,46,2,-1,-1,-1,-1,111,金融,金融
3116,トヨタ紡織,47,-1,-1,-1,-1,-1,112,自動車4,自動車1
5991,日本発條,47,-1,-1,-1,-1,-1,112,自動車4,自動車1
7259,アイシン,47,-1,-1,-1,-1,-1,112,自動車4,自動車1
7282,豊田合成,47,-1,-1,-1,-1,-1,112,自動車4,自動車1
7313,テイ・エス　テック,47,-1,-1,-1,-1,-1,112,自動車4,自動車1
1878,大東建託,48,-1,-1,-1,-1,-1,113,不動産3,不動産
8801,三井不動産,48,-1,-1,-1,-1,-1,113,不動産3,不動産
8802,三菱地所,48,-1,-1,-1,-1,-1,113,不動産3,不動産
8830,住友不動産,48,-1,-1,-1,-1,-1,113,不動産3,不動産
4502,武田薬品工業,49,-1,-1,-1,-1,-1,114,不動産3,不動産
4503,アステラス製薬,49,-1,-1,-1,-1,-1,114,不動産3,不動産
4568,第一三共,49,-1,-1,-1,-1,-1,114,不動産3,不動産
4578,大塚ホールディングス,49,-1,-1,-1,-1,-1,114,不動産3,不動産
8750,第一生命ホールディングス,50,-1,-1,-1,-1,-1,115,生保,保険
8795,Ｔ＆Ｄホールディングス,50,-1,-1,-1,-1,-1,115,生保,保険
8424,芙蓉総合リース,51,-1,-1,-1,-1,-1,116,リース,金融
8439,東京センチュリー,51,-1,-1,-1,-1,-1,116,リース,金融
8591,オリックス,51,-1,-1,-1,-1,-1,116,リース,金融
8593,三菱ＨＣキャピタル,51,-1,-1,-1,-1,-1,116,リース,金融
8630,ＳＯＭＰＯホールディングス,52,-1,-1,-1,-1,-1,117,損保,保険
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,52,-1,-1,-1,-1,-1,117,損保,保険
8766,東京海上ホールディングス,52,-1,-1,-1,-1,-1,117,損保,保険
3591,ワコールホールディングス,53,-1,-1,-1,-1,-1,118,その他2,その他
4665,ダスキン,53,-1,-1,-1,-1,-1,118,その他2,その他
6436,アマノ,53,-1,-1,-1,-1,-1,118,その他2,その他
6457,グローリー,53,-1,-1,-1,-1,-1,118,その他2,その他
4676,フジ・メディア・ホールディングス,54,-1,-1,-1,-1,-1,119,テレビ,メディア
9401,ＴＢＳホールディングス,54,-1,-1,-1,-1,-1,119,テレビ,メディア
9404,日本テレビホールディングス,54,-1,-1,-1,-1,-1,119,テレビ,メディア
9064,ヤマトホールディングス,55,-1,-1,-1,-1,-1,120,陸運,陸運
9065,山九,55,-1,-1,-1,-1,-1,120,陸運,陸運
9072,ニッコンホールディングス,55,-1,-1,-1,-1,-1,120,陸運,陸運
9076,セイノーホールディングス,55,-1,-1,-1,-1,-1,120,陸運,陸運
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,55,-1,-1,-1,-1,-1,120,陸運,陸運
4902,コニカミノルタ,56,-1,-1,-1,-1,-1,121,複合機,OA機器
7752,リコー,56,-1,-1,-1,-1,-1,121,複合機,OA機器
3048,ビックカメラ,57,-1,-1,-1,-1,-1,122,家電量販店,量販店
8282,ケーズホールディングス,57,-1,-1,-1,-1,-1,122,家電量販店,量販店
9831,ヤマダホールディングス,57,-1,-1,-1,-1,-1,122,家電量販店,量販店
7911,ＴＯＰＰＡＮホールディングス,58,-1,-1,-1,-1,-1,123,印刷,食品3
7912,大日本印刷,58,-1,-1,-1,-1,-1,123,印刷,食品3
2670,エービーシー・マート,59,-1,-1,-1,-1,-1,124,小売り大手,量販店
4732,ユー・エス・エス,59,-1,-1,-1,-1,-1,124,小売り大手,量販店
8227,しまむら,59,-1,-1,-1,-1,-1,124,小売り大手,量販店
4045,東亞合成,60,1,-1,-1,-1,-1,125,化学4,その他
8012,長瀬産業,60,1,-1,-1,-1,-1,125,化学4,その他
8060,キヤノンマーケティングジャパン,60,1,-1,-1,-1,-1,125,化学4,その他
7476,アズワン,60,2,-1,-1,-1,-1,126,化学4,その他
9934,因幡電機産業,60,2,-1,-1,-1,-1,126,化学4,その他
5201,ＡＧＣ,61,-1,-1,-1,-1,-1,127,ガラス,重工
5214,日本電気硝子,61,-1,-1,-1,-1,-1,127,ガラス,重工
5463,丸一鋼管,62,-1,-1,-1,-1,-1,128,非鉄金属2,非鉄金属
5711,三菱マテリアル,62,-1,-1,-1,-1,-1,128,非鉄金属2,非鉄金属
5714,ＤＯＷＡホールディングス,62,-1,-1,-1,-1,-1,128,非鉄金属2,非鉄金属
3635,コーエーテクモホールディングス,63,1,-1,-1,-1,-1,129,ゲーム,IT1
3659,ネクソン,63,1,-1,-1,-1,-1,129,ゲーム,IT1
9684,スクウェア・エニックス・ホールディングス,63,1,-1,-1,-1,-1,129,ゲーム,IT1
9697,カプコン,63,1,-1,-1,-1,-1,129,ゲーム,IT1
