,Code,Sector,Sector33CodeName
758,7433,伯東,
759,7451,食品2,
760,7453,小売,
761,7456,松田産業,
762,7458,遊戯機器,
763,7459,医薬品卸,
764,7476,衛生,
765,7483,ドウシシャ,
766,7508,スーパー,
767,7516,ホームセンター,
768,7518,ソフトウェア,
769,7522,外食2・学習塾,
770,7532,ドラッグストア,
771,7545,小売,
772,7550,外食1,
773,7552,中堅ゼネコン・設計,
774,7554,外食2・学習塾,
775,7575,医薬品卸,
776,7581,外食1,
777,7593,ロードサイド,
778,7595,EDA・CAD,
779,7599,繊維,
780,7600,塗料・酸素,
781,7606,アパレル2,
782,7611,外食1,
783,7613,樹脂等,
784,7616,外食1,
785,7630,外食1,
786,7649,ドラッグストア,
787,7701,センサー・産機,
788,7715,長野計器,
789,7717,半導体1,
790,7718,工作機械,
791,7725,半導体1,
792,7729,半導体1,
793,7730,マニー,
794,7731,OA機器・時計,
795,7732,機械部品1,
796,7733,ヘルスケア,
797,7734,理研計器,
798,7735,半導体1,
799,7739,OA機器・時計,
800,7740,OA機器・時計,
801,7741,センサー・産機,
802,7744,ノーリツ鋼機,
803,7745,Ａ＆Ｄホロンホールディングス,
804,7747,衛生,
805,7751,OA機器・時計,
806,7752,OA機器・時計,
807,7762,OA機器・時計,
808,7780,メニコン,
809,7817,医薬品卸,
810,7820,土木・道路,
811,7821,土木・道路,
812,7832,遊戯機器,
813,7839,土木・道路,
814,7844,PC・ソシャゲ,
815,7846,パイロットコーポレーション,
816,7860,印刷・広告,
817,7864,食品2,
818,7867,タカラトミー,
819,7874,食品運搬・販売,
820,7911,印刷・広告,
821,7912,印刷・広告,
822,7915,ＮＩＳＳＨＡ,
823,7917,藤森工業,
824,7921,その他サービス,
825,7936,スポーツ用品,
826,7942,ＪＳＰ,
827,7943,ニチハ,
828,7947,食品2,
829,7951,印刷・広告,
830,7956,衛生,
831,7965,象印マホービン,
832,7966,油脂・ポリマー,
833,7970,信越ポリマー,
834,7972,イトーキ,
835,7974,証券,
836,7976,文具,
837,7981,タカラスタンダード,
838,7984,文具,
839,7988,トヨタ系他,
840,7990,ロードサイド,
841,7994,オカムラ,
842,7995,中堅化学,
843,8001,商社,
844,8002,商社,
845,8005,小売2,
846,8008,食品運搬・販売,
847,8012,専門商社,
848,8015,商社,
849,8016,アパレル1,
850,8020,商社,
851,8022,スポーツ用品,
852,8031,三井系,
853,8035,半導体1,
854,8050,OA機器・時計,
855,8051,専門商社2,
856,8053,金属製品,
857,8056,ソフトウェア,
858,8057,ロードサイド,
859,8058,商社,
860,8060,キヤノンマーケティングジャパン,
861,8074,専門商社,
862,8078,金属製品,
863,8079,食品運搬・販売,
864,8086,中堅製薬,
865,8088,商社,
866,8097,専門商社,
867,8098,専門商社2,
868,8111,小売,
869,8113,衛生,
870,8114,アパレル1,
871,8125,ワキタ,
872,8129,医薬品卸,
873,8130,サンゲツ,
874,8133,専門商社,
875,8136,エンタメ,
876,8153,外食2・学習塾,
877,8154,加賀電子,
878,8155,半導体1,
879,8160,外食2・学習塾,
880,8167,リテールパートナーズ,
881,8173,ロードサイド,
882,8174,ガス,
883,8179,外食1,
884,8185,ロードサイド,
885,8194,スーパー,
886,8200,外食1,
887,8214,アパレル2,
888,8218,ホームセンター,
889,8219,アパレル2,
890,8227,小売,
891,8233,百貨店,
892,8237,百貨店,
893,8242,百貨店,
894,8252,百貨店,
895,8253,リース・ローン,
896,8267,コンビニ,
897,8273,スーパー,
898,8276,スーパー,
899,8278,コンビニ,
900,8279,スーパー,
901,8281,ロードサイド,
902,8282,家電量販店,
903,8283,小売,
904,8304,都銀・保険,
905,8306,都銀・保険,
906,8308,都銀・保険,
907,8309,都銀・保険,
908,8316,都銀・保険,
909,8331,地銀,
910,8334,地銀,
911,8336,地銀,
912,8337,地銀,
913,8341,地銀,
914,8346,地銀,
915,8354,地銀,
916,8358,地銀,
917,8359,地銀,
918,8361,地銀,
919,8366,地銀,
920,8367,地銀,
921,8368,地銀,
922,8370,地銀,
923,8377,地銀,
924,8381,地銀,
925,8386,地銀,
926,8388,地銀,
927,8392,地銀,
928,8399,地銀,
929,8410,都銀・保険,
930,8411,都銀・保険,
931,8418,地銀,
932,8424,リース・ローン,
933,8425,リース・ローン,
934,8439,リース・ローン,
935,8473,証券,
936,8511,証券,
937,8515,リース・ローン,
938,8522,地銀,
939,8524,地銀,
940,8544,地銀,
941,8558,地銀,
942,8566,リース・ローン,
943,8570,リース・ローン,
944,8572,リース・ローン,
945,8584,リース・ローン,
946,8585,リース・ローン,
947,8591,リース・ローン,
948,8593,リース・ローン,
949,8595,証券,
950,8600,地銀,
951,8601,証券,
952,8604,証券,
953,8609,証券,
954,8613,証券,
955,8616,証券,
956,8624,証券,
957,8628,証券,
958,8630,都銀・保険,
959,8697,証券,
960,8698,証券,
961,8706,証券,
962,8707,証券,
963,8713,地銀,
964,8714,地銀,
965,8715,食品1,
966,8725,都銀・保険,
967,8739,証券,
968,8750,都銀・保険,
969,8766,都銀・保険,
970,8771,衛生,
971,8795,都銀・保険,
972,8801,不動産,
973,8802,不動産,
974,8803,不動産,
975,8804,不動産,
976,8818,不動産,
977,8830,不動産,
978,8848,不動産,
979,8850,住宅,
980,8871,住宅,
981,8876,不動産,
982,8892,日本エスコン,
983,8897,住宅,
984,8905,不動産,
985,8920,その他レジャー,
986,8923,不動産,
987,8934,不動産,
988,9001,首都圏私鉄,
989,9003,地方私鉄,
990,9005,首都圏私鉄,
991,9006,地方私鉄,
992,9007,首都圏私鉄,
993,9008,首都圏私鉄,
994,9009,首都圏私鉄,
995,9010,地方私鉄,
996,9020,旅客・海外観光,
997,9021,旅客・海外観光,
998,9022,旅客・海外観光,
999,9024,首都圏私鉄,
1000,9025,物流,
1001,9031,地方私鉄,
1002,9037,物流,
1003,9039,食品運搬・販売,
1004,9041,地方私鉄,
1005,9042,エンタメ,
1006,9044,エンタメ,
1007,9045,地方私鉄,
1008,9048,地方私鉄,
1009,9058,食品運搬・販売,
1010,9064,物流,
